,SERVICE_PROVIDER_ID,COUNTRY_CODE,YEAR_NO,MONTH_NO,DAY_NO,HOUR_NO,NumberOfHits,DATA_TYPE
244,8,120.0,2023.0,10.0,5.0,11.0,10,GEO DATA
245,8,120.0,2023.0,10.0,5.0,12.0,8,GEO DATA
246,8,120.0,2023.0,10.0,5.0,13.0,3,GEO DATA
247,8,120.0,2023.0,10.0,5.0,14.0,7,GEO DATA
248,8,120.0,2023.0,10.0,5.0,15.0,8,GEO DATA
249,8,120.0,2023.0,10.0,5.0,16.0,17,GEO DATA
250,8,120.0,2023.0,10.0,5.0,17.0,6,GEO DATA
251,8,120.0,2023.0,10.0,5.0,18.0,1,GEO DATA
252,8,120.0,2023.0,10.0,5.0,19.0,9,GEO DATA
253,8,120.0,2023.0,10.0,5.0,20.0,11,GEO DATA
254,8,120.0,2023.0,10.0,5.0,21.0,3,GEO DATA
255,8,120.0,2023.0,10.0,5.0,22.0,6,GEO DATA
256,8,120.0,2023.0,10.0,5.0,23.0,6,GEO DATA
257,8,120.0,2023.0,10.0,6.0,0.0,4,GEO DATA
258,8,120.0,2023.0,10.0,6.0,3.0,4,GEO DATA
259,8,120.0,2023.0,10.0,6.0,4.0,1,GEO DATA
260,8,120.0,2023.0,10.0,6.0,6.0,7,GEO DATA
261,8,120.0,2023.0,10.0,6.0,7.0,18,GEO DATA
262,8,120.0,2023.0,10.0,6.0,8.0,100,GEO DATA
263,8,120.0,2023.0,10.0,6.0,9.0,33,GEO DATA
264,8,120.0,2023.0,10.0,6.0,10.0,80,GEO DATA
265,8,120.0,2023.0,10.0,6.0,11.0,79,GEO DATA
266,8,120.0,2023.0,10.0,6.0,12.0,68,GEO DATA
267,8,120.0,2023.0,10.0,6.0,13.0,82,GEO DATA
268,8,120.0,2023.0,10.0,6.0,14.0,179,GEO DATA
269,8,120.0,2023.0,10.0,6.0,15.0,161,GEO DATA
270,8,120.0,2023.0,10.0,6.0,16.0,132,GEO DATA
271,8,120.0,2023.0,10.0,6.0,17.0,101,GEO DATA
272,8,120.0,2023.0,10.0,6.0,18.0,104,GEO DATA
273,8,120.0,2023.0,10.0,6.0,19.0,147,GEO DATA
274,8,120.0,2023.0,10.0,6.0,20.0,134,GEO DATA
275,8,120.0,2023.0,10.0,6.0,21.0,165,GEO DATA
276,8,120.0,2023.0,10.0,6.0,22.0,96,GEO DATA
277,8,120.0,2023.0,10.0,6.0,23.0,138,GEO DATA
278,8,120.0,2023.0,10.0,7.0,0.0,18,GEO DATA
279,8,120.0,2023.0,10.0,7.0,1.0,9,GEO DATA
280,8,120.0,2023.0,10.0,7.0,2.0,14,GEO DATA
281,8,120.0,2023.0,10.0,7.0,3.0,6901,GEO DATA
282,8,120.0,2023.0,10.0,7.0,4.0,6438,GEO DATA
283,8,120.0,2023.0,10.0,7.0,5.0,6364,GEO DATA
284,8,120.0,2023.0,10.0,7.0,6.0,6668,GEO DATA
285,8,120.0,2023.0,10.0,7.0,7.0,7442,GEO DATA
286,8,120.0,2023.0,10.0,7.0,8.0,8162,GEO DATA
287,8,120.0,2023.0,10.0,7.0,9.0,8767,GEO DATA
288,8,120.0,2023.0,10.0,7.0,10.0,10014,GEO DATA
289,8,120.0,2023.0,10.0,7.0,11.0,9981,GEO DATA
290,8,120.0,2023.0,10.0,7.0,12.0,11299,GEO DATA
291,8,120.0,2023.0,10.0,7.0,13.0,9916,GEO DATA
292,8,120.0,2023.0,10.0,7.0,14.0,9904,GEO DATA
293,8,120.0,2023.0,10.0,7.0,15.0,9941,GEO DATA
294,8,120.0,2023.0,10.0,7.0,16.0,9732,GEO DATA
295,8,120.0,2023.0,10.0,7.0,17.0,10050,GEO DATA
296,8,120.0,2023.0,10.0,7.0,18.0,9839,GEO DATA
297,8,120.0,2023.0,10.0,7.0,19.0,9759,GEO DATA
298,8,120.0,2023.0,10.0,7.0,20.0,9950,GEO DATA
299,8,120.0,2023.0,10.0,7.0,21.0,10142,GEO DATA
300,8,120.0,2023.0,10.0,7.0,22.0,10316,GEO DATA
301,8,120.0,2023.0,10.0,7.0,23.0,10010,GEO DATA
302,8,120.0,2023.0,10.0,8.0,0.0,8992,GEO DATA
303,8,120.0,2023.0,10.0,8.0,1.0,8340,GEO DATA
304,8,120.0,2023.0,10.0,8.0,2.0,7529,GEO DATA
305,8,120.0,2023.0,10.0,8.0,3.0,6683,GEO DATA
306,8,120.0,2023.0,10.0,8.0,4.0,6304,GEO DATA
307,8,120.0,2023.0,10.0,8.0,5.0,6130,GEO DATA
308,8,120.0,2023.0,10.0,8.0,6.0,6383,GEO DATA
309,8,120.0,2023.0,10.0,8.0,7.0,6939,GEO DATA
310,8,120.0,2023.0,10.0,8.0,8.0,7563,GEO DATA
311,8,120.0,2023.0,10.0,8.0,9.0,7646,GEO DATA
312,8,120.0,2023.0,10.0,8.0,10.0,8125,GEO DATA
313,8,120.0,2023.0,10.0,8.0,11.0,8681,GEO DATA
314,8,120.0,2023.0,10.0,8.0,12.0,8405,GEO DATA
315,8,120.0,2023.0,10.0,8.0,13.0,8465,GEO DATA
316,8,120.0,2023.0,10.0,8.0,14.0,8446,GEO DATA
317,8,120.0,2023.0,10.0,8.0,15.0,8405,GEO DATA
318,8,120.0,2023.0,10.0,8.0,16.0,8432,GEO DATA
319,8,120.0,2023.0,10.0,8.0,17.0,8168,GEO DATA
320,8,120.0,2023.0,10.0,8.0,18.0,8196,GEO DATA
321,8,120.0,2023.0,10.0,8.0,19.0,7641,GEO DATA
322,8,120.0,2023.0,10.0,8.0,20.0,7264,GEO DATA
323,8,120.0,2023.0,10.0,8.0,21.0,6720,GEO DATA
324,8,120.0,2023.0,10.0,8.0,22.0,7197,GEO DATA
325,8,120.0,2023.0,10.0,8.0,23.0,7545,GEO DATA
326,8,120.0,2023.0,10.0,9.0,0.0,7693,GEO DATA
327,8,120.0,2023.0,10.0,9.0,1.0,7763,GEO DATA
328,8,120.0,2023.0,10.0,9.0,2.0,7286,GEO DATA
329,8,120.0,2023.0,10.0,9.0,3.0,1209,GEO DATA
330,8,120.0,2023.0,10.0,9.0,4.0,1180,GEO DATA
331,8,120.0,2023.0,10.0,9.0,5.0,1130,GEO DATA
332,8,120.0,2023.0,10.0,9.0,6.0,1231,GEO DATA
333,8,120.0,2023.0,10.0,9.0,7.0,1364,GEO DATA
334,8,120.0,2023.0,10.0,9.0,8.0,1512,GEO DATA
335,8,120.0,2023.0,10.0,9.0,9.0,1536,GEO DATA
336,8,120.0,2023.0,10.0,9.0,10.0,1605,GEO DATA
337,8,120.0,2023.0,10.0,9.0,11.0,1700,GEO DATA
338,8,120.0,2023.0,10.0,9.0,12.0,1761,GEO DATA
339,8,120.0,2023.0,10.0,9.0,13.0,1777,GEO DATA
340,8,120.0,2023.0,10.0,9.0,14.0,1859,GEO DATA
341,8,120.0,2023.0,10.0,9.0,15.0,1802,GEO DATA
342,8,120.0,2023.0,10.0,9.0,16.0,1661,GEO DATA
343,8,120.0,2023.0,10.0,9.0,17.0,1710,GEO DATA
344,8,120.0,2023.0,10.0,9.0,18.0,1652,GEO DATA
345,8,120.0,2023.0,10.0,9.0,19.0,1469,GEO DATA
346,8,120.0,2023.0,10.0,9.0,20.0,1494,GEO DATA
