,index,Device_ID_geo,Latitude,Longitude,Timestamp,Location_Name,Service_Provider_ID
2890,2293,42181141-adf9-2b5d-deea-18a2a9234a11,16.71378,42.95795,2023-10-10 12:42:06,42181141-adf9-2b5d-deea-18a2a9234a11,9
2891,2294,42181141-adf9-2b5d-deea-18a2a9234a11,16.71371,42.95792,2023-10-10 12:42:11,42181141-adf9-2b5d-deea-18a2a9234a11,9
2892,2295,42181141-adf9-2b5d-deea-18a2a9234a11,16.71367,42.9578,2023-10-10 12:48:39,42181141-adf9-2b5d-deea-18a2a9234a11,9
2893,2296,42181141-adf9-2b5d-deea-18a2a9234a11,16.7137,42.95777,2023-10-10 12:55:06,42181141-adf9-2b5d-deea-18a2a9234a11,9
2894,2297,42181141-adf9-2b5d-deea-18a2a9234a11,16.71445,42.95582,2023-10-10 13:02:03,42181141-adf9-2b5d-deea-18a2a9234a11,9
2895,2298,42181141-adf9-2b5d-deea-18a2a9234a11,16.71442,42.95582,2023-10-10 13:02:07,42181141-adf9-2b5d-deea-18a2a9234a11,9
2896,2299,42181141-adf9-2b5d-deea-18a2a9234a11,16.71447,42.95594,2023-10-10 13:07:01,42181141-adf9-2b5d-deea-18a2a9234a11,9
2897,2300,42181141-adf9-2b5d-deea-18a2a9234a11,16.71453,42.95585,2023-10-10 13:13:36,42181141-adf9-2b5d-deea-18a2a9234a11,9
2898,2301,42181141-adf9-2b5d-deea-18a2a9234a11,16.71452,42.95585,2023-10-10 13:19:30,42181141-adf9-2b5d-deea-18a2a9234a11,9
2899,2302,42181141-adf9-2b5d-deea-18a2a9234a11,16.71454,42.95581,2023-10-10 13:19:40,42181141-adf9-2b5d-deea-18a2a9234a11,9
2900,2303,42181141-adf9-2b5d-deea-18a2a9234a11,16.71456,42.95584,2023-10-10 13:19:44,42181141-adf9-2b5d-deea-18a2a9234a11,9
2901,2304,42181141-adf9-2b5d-deea-18a2a9234a11,16.71452,42.95584,2023-10-10 13:19:45,42181141-adf9-2b5d-deea-18a2a9234a11,9
2902,2305,42181141-adf9-2b5d-deea-18a2a9234a11,16.7145,42.95588,2023-10-10 13:24:00,42181141-adf9-2b5d-deea-18a2a9234a11,9
2903,2306,42181141-adf9-2b5d-deea-18a2a9234a11,16.71445,42.95586,2023-10-10 13:28:52,42181141-adf9-2b5d-deea-18a2a9234a11,9
2904,2307,42181141-adf9-2b5d-deea-18a2a9234a11,16.71454,42.9557,2023-10-10 13:37:00,42181141-adf9-2b5d-deea-18a2a9234a11,9
2905,2308,42181141-adf9-2b5d-deea-18a2a9234a11,16.71455,42.9557,2023-10-10 13:37:07,42181141-adf9-2b5d-deea-18a2a9234a11,9
2906,2309,42181141-adf9-2b5d-deea-18a2a9234a11,16.71452,42.9557,2023-10-10 13:37:50,42181141-adf9-2b5d-deea-18a2a9234a11,9
2907,2310,42181141-adf9-2b5d-deea-18a2a9234a11,16.7145,42.9559,2023-10-10 13:47:04,42181141-adf9-2b5d-deea-18a2a9234a11,9
2908,2311,42181141-adf9-2b5d-deea-18a2a9234a11,16.71452,42.95585,2023-10-10 13:47:07,42181141-adf9-2b5d-deea-18a2a9234a11,9
2909,2312,42181141-adf9-2b5d-deea-18a2a9234a11,16.71452,42.95585,2023-10-10 13:47:09,42181141-adf9-2b5d-deea-18a2a9234a11,9
2910,2313,42181141-adf9-2b5d-deea-18a2a9234a11,16.71455,42.95581,2023-10-10 13:47:40,42181141-adf9-2b5d-deea-18a2a9234a11,9
2911,2314,42181141-adf9-2b5d-deea-18a2a9234a11,16.71455,42.95581,2023-10-10 13:47:59,42181141-adf9-2b5d-deea-18a2a9234a11,9
2912,2315,42181141-adf9-2b5d-deea-18a2a9234a11,16.7144,42.95581,2023-10-10 13:56:03,42181141-adf9-2b5d-deea-18a2a9234a11,9
2913,2316,42181141-adf9-2b5d-deea-18a2a9234a11,16.7144,42.95587,2023-10-10 13:56:51,42181141-adf9-2b5d-deea-18a2a9234a11,9
2914,2317,42181141-adf9-2b5d-deea-18a2a9234a11,16.71445,42.95582,2023-10-10 14:12:03,42181141-adf9-2b5d-deea-18a2a9234a11,9
2915,2318,42181141-adf9-2b5d-deea-18a2a9234a11,16.71447,42.9558,2023-10-10 14:12:07,42181141-adf9-2b5d-deea-18a2a9234a11,9
2916,2319,42181141-adf9-2b5d-deea-18a2a9234a11,16.71447,42.95587,2023-10-10 14:12:53,42181141-adf9-2b5d-deea-18a2a9234a11,9
2917,2320,42181141-adf9-2b5d-deea-18a2a9234a11,16.71648,42.95605,2023-10-10 14:13:22,42181141-adf9-2b5d-deea-18a2a9234a11,9
2918,2321,42181141-adf9-2b5d-deea-18a2a9234a11,16.71456,42.95574,2023-10-10 14:37:11,42181141-adf9-2b5d-deea-18a2a9234a11,9
2919,2322,42181141-adf9-2b5d-deea-18a2a9234a11,16.71452,42.95572,2023-10-10 14:37:12,42181141-adf9-2b5d-deea-18a2a9234a11,9
2920,2323,42181141-adf9-2b5d-deea-18a2a9234a11,16.71452,42.95578,2023-10-10 14:37:18,42181141-adf9-2b5d-deea-18a2a9234a11,9
2921,2324,42181141-adf9-2b5d-deea-18a2a9234a11,16.71456,42.95571,2023-10-10 14:37:22,42181141-adf9-2b5d-deea-18a2a9234a11,9
2922,2325,42181141-adf9-2b5d-deea-18a2a9234a11,16.71457,42.95574,2023-10-10 14:37:24,42181141-adf9-2b5d-deea-18a2a9234a11,9
