,device_id,location_latitude,location_longitude,usage_timeframe,grid,main_id,service_provider_id,location_name,provinance,country,city,lat_long
109,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.9304146,35.6128814,1696753172000,"33.93067086295151,35.61259600815358",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
110,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.9304146,35.6128814,1696753832000,"33.93067086295151,35.61259600815358",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
111,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.9304146,35.6128814,1696753832000,"33.93067086295151,35.61259600815358",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
112,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.9308069,35.6114727,1696754320000,"33.93067086295151,35.6115149877396",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
113,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.9308069,35.6114727,1696754320000,"33.93067086295151,35.6115149877396",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
114,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.9308069,35.6114727,1696754786000,"33.93067086295151,35.6115149877396",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
115,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.9308069,35.6114727,1696754786000,"33.93067086295151,35.6115149877396",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
116,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.9308069,35.6114727,1696755219000,"33.93067086295151,35.6115149877396",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
117,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.9308069,35.6114727,1696755219000,"33.93067086295151,35.6115149877396",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
118,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.9308069,35.6114727,1696755732000,"33.93067086295151,35.6115149877396",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
119,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.9308069,35.6114727,1696755732000,"33.93067086295151,35.6115149877396",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
120,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.930464,35.6128746,1696756165000,"33.93067086295151,35.61259600815358",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
121,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.930464,35.6128746,1696756165000,"33.93067086295151,35.61259600815358",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
122,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.9305568,35.6128818,1696756690000,"33.93067086295151,35.61259600815358",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
123,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.9305568,35.6128818,1696756690000,"33.93067086295151,35.61259600815358",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
124,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.9273076,35.61004,1696757525000,"33.92705337601968,35.610433967325605",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
125,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.9273076,35.61004,1696757525000,"33.92705337601968,35.610433967325605",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Djounie,"['33.98083', '35.61778']"
126,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.9167668,35.6015565,1696757989000,"33.91710528695715,35.601785804013716",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Jdaidet el Matn,"['33.89056', '35.56639']"
127,79bbd379-5c9e-4d7c-ac7f-84119eec9a3f,33.9167668,35.6015565,1696757989000,"33.91710528695715,35.601785804013716",95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,9.0,95cca195-2b5e-4a9b-ab9f-48995eeb5d1f,Mont-Liban,LB,Jdaidet el Matn,"['33.89056', '35.56639']"
